Location,Latitude,Longitude
American_Samoa,-14.3,-170.7
Angola,-12.286385,17.762631
Anguilla,18.230617,-63.064395
Antigua_and_Barbuda,17.060816,-61.796428
Australia,-25.047944,134.003347
Bahamas,25,-77.4
Bangladesh,23.795572,90.283221
Barbados,13.169025,-59.555144
Borneo,48.977748,14.472802
Brazil,-9.683469,-52.308555
British_Virgin_Islands,18.719104,-64.319307
Cambodia,12.694093,104.910399
Cameroon,4.717083,11.74702
Caribbean,21.78,-73.564
Cayman_Islands,19.269665,-81.276855
Central_African_Republic,7.028514,20.580697
China,34.740765,101.319735
Colombia,3.501314,-72.872505
Comoros,-12.226076,44.410906
Cote_d_Ivoire,7.547363,-5.566505
Democratic_Republic_of_the_Congo,-1.471684,23.213382
Dominica,15.426354,-61.357071
Dominican_Republic,18.892313,-70.206847
El_Salvador,13.63171,-88.910934
France,46.648713,2.621566
French_Guiana,4.072048,-53.007043
French_Polynesia,-17.679742,-149.406843
Gabon,-1.343877,11.721494
Grenada,12.155863,-61.654958
Guadeloupe,16.154225,-61.677913
Guatemala,15.609342,-90.560029
Guyana,4.633369,-58.801275
Haiti,18.964026,-71.997442
Honduras,14.504704,-87.225643
Hong_Kong,22.280681,114.174399
India,23.041173,78.891806
Indonesia,-3.187229,119.851232
Italy,42.76319,12.251522
Jamaica,18.115368,-77.160905
Kiribati,1.993671,-157.397438
Laos,19.541534,102.63215
Madagascar,-19.863362,46.526251
Malaysia,3.98864,102.064055
Mauritius,-20.253752,57.589972
Mayotte,-12.812986,45.1406
Mexico,22.40657,-101.844884
Micronesia,6.888581,158.243484
Montserrat,16.737408,-62.192334
Myanmar,21.124585,96.253678
Nicaragua,12.139432,-84.908726
Nigeria,9.553236,8.07485
Pakistan,29.878937,69.913918
Panama,8.641033,-80.40586
Papua_New_Guinea,-6.269095,143.940287
Philippines,12.415512,123.431038
Puerto_Rico,18.215691,-66.414655
Republic_of_the_Congo,-0.22949,15.935776
Reunion,-21.120397,55.539277
Saint_Kitts_and_Nevis,17.315342,-62.744355
Saint_Lucia,13.895288,-60.964518
Saint_Martin,18.083183,-63.048451
Saint_Vincent_and_the_Grenadines,13.251501,-61.189064
Samoa,-13.621469,-172.438935
Senegal,14.502785,-14.654668
Singapore,1.356203,103.828142
South_Africa,-29.140993,24.367459
Sri_Lanka,7.517242,80.779494
St_Barts,17.900342,-62.820854
Suriname,4.1413,-56.047436
Tanzania,-6.453096,34.894539
Thailand,15.660392,101.520053
Timor-Leste,-8.819164,125.865833
Trinidad_and_Tobago,10.485968,-61.255908
Turks_and_Caicos_Islands,21.800308,-71.71875
Uganda,1.105402,32.52062
USA,39.999733,-98.678503
Virgin_Islands,17.728789,-64.759199
Yemen,15.744086,47.66645