Accession,COO
2k1b_Austria_wg_S3_KY780123_2013,Austria
2k1b_Austria-AZ_wg_S4_KY883981_2009,Azerbaijan
2k1b_Austria-Chechnya_wg_S1_KY883982_2009,Chechnya
2k1b_Austria-Chechnya_wg_S2_KY780122_2015,Chechnya
2k1b_AZ_Core-NS2-NS3_886_X_2004,Azerbaijan
2k1b_Belarus_CoreE1_HCV-1432-Mn_MF180272_2012,Belarus
2k1b_Belarus_CoreE1_HCV-1489-MnObl_MF180273_2013,Belarus
2k1b_Belarus_CoreE1_HCV-161-Mn_MF180271_2008,Belarus
2k1b_Belarus_CoreE1_HCV-408-Mn_MF180274_2015,Belarus
2k1b_FR_wg_NAArmenia_KM495736_2014,Armenia
2k1b_FRA-ARM_Core-NS3_KV-ARM_KM591899-KM591887_2014,Armenia
2k1b_FRA-ARM_NS3_GA-ARM_KM591893_2014,Armenia
2k1b_FRA-AZE_Core-NS3_AM-AZE_KM591900-KM591886_2014,Azerbaijan
2k1b_FRA-GEO_Core-NS3_CA-GEO_KM591896-KM591890_2014,Georgia
2k1b_FRA-GEO_Core-NS3_CD-GEO_KM591895-KM591891_2014,Georgia
2k1b_FRA-GEO_Core-NS3_GS-GEO_KM591897-KM591889_2014,Georgia
2k1b_FRA-GEO_Core-NS3_ZN-GEO_KM591898-KM591888_2014,Georgia
2k1b_FRA-GEO_NS3_AS-GEO_KM591892_2014,Georgia
2k1b_FRA-GEO_NS3_OK-GEO_KM591894_2014,Georgia
2k1b_GER_Core-NS2-NS3-NS5A_G-24_MF109863_2016,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-10_MF109849_2015,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-2_MF109841_2014,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-28_MF109867_2016,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-35_MF109874_2016,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-36_MF109875_2016,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-37_MF109876_2016,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-41_MF109880_2016,Germany
2k1b_GER_Core-NS2-NS3-NS5A-NS5B_G-48_MF109887_2014,Germany
2k1b_GER_Core-NS3-NS5A-NS5B_G-40_MF109879_2016,Germany
2k1b_GER-ARM_Core-NS2-NS3-NS5A-NS5B_G-11_MF109850_2015,Armenia
2k1b_GER-ARM_Core-NS2-NS3-NS5A-NS5B_G-32_MF109871_2016,Armenia
2k1b_GER-AZ_Core-NS2-NS3-NS5A_G-20_MF109859_2015,Azerbaijan
2k1b_GER-AZ_Core-NS2-NS3-NS5B_G-45_MF109884_2015,Azerbaijan
2k1b_GER-CHECH_Core-NS2-NS3-NS5A-NS5B_G-15_MF109854_2015,Chechnya
2k1b_GER-CHECH_Core-NS2-NS3-NS5A-NS5B_G-31_MF109870_2016,Chechnya
2k1b_GER-CHECH_Core-NS2-NS3-NS5A-NS5B_G-34_MF109873_2016,Chechnya
2k1b_GER-GEO_Core-NS2-NS3_G-1_MF109840_2014,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-12_MF109851_2015,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-21_MF109860_2015,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-22_MF109861_2016,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-27_MF109866_2016,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-3_MF109842_2014,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-4_MF109843_2014,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-42_MF109881_2014,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-49_MF109888_2014,Georgia
2k1b_GER-GEO_Core-NS2-NS3-NS5A-NS5B_G-50_MF109889_2016,Georgia
2k1b_GER-GRE_Core-NS2-NS3-NS5A-NS5B_G-44_MF109883_2015,Greece
2k1b_GER-KAZ_Core-NS2-NS3-NS5A-NS5B_G-17_MF109856_2015,Kazakhstan
2k1b_GER-KAZ_Core-NS2-NS3-NS5A-NS5B_G-38_MF109877_2016,Kazakhstan
2k1b_GER-ROM_Core-NS2-NS3-NS5A_G-19_MF109858_2015,Romania
2k1b_GER-RU_Core-Core-NS2-NS3-NS5A-NS5B_G-46_MF109885_2008,Russia
2k1b_GER-RU_Core-NS2-NS3_G-47_MF109886_2012,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A_G-14_MF109853_2015,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A_G-5_MF109844_2014,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-13_MF109852_2015,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-23_MF109862_2016,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-25_MF109864_2016,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-26_MF109865_2016,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-30_MF109869_2016,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-33_MF109872_2016,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-43_MF109882_2015,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-6_MF109845_2014,Russia
2k1b_GER-RU_Core-NS2-NS3-NS5A-NS5B_G-8_MF109847_2015,Russia
2k1b_GER-TADZ_Core-NS2-NS3-NS5A-NS5B_G-39_MF109878_2016,Tajikistan
2k1b_GER-UKR_Core-NS2-NS3-NS5A-NS5B_G-18_MF109857_2015,Ukraine
2k1b_GER-UKR_Core-NS2-NS3-NS5A-NS5B_G-7_MF109846_2014,Ukraine
2k1b_GER-UKR_Core-NS3-NS5A-NS5B_G-16_MF109855_2015,Ukraine
2k1b_IE-RU_CoreE1-NS5Bconcat_HC9A98987_AB327017-AB327057_2003,Russia
2k1b_IT-RU_17245_2015,Russia
2k1b_KAZ_Core-NS2-NS3_822_X_2012,Kazakhstan
2k1b_RU_Core_Kul-2k1b_KM054516_2013,Russia
2k1b_RU_Core--NS3_611_AY070167-AY070170_1999,Russia
2k1b_RU_Core--NS3-NS5B_674_AY070169-AY070172-AF388517_1999,Russia
2k1b_RU_Core-NS2-NS3_828_X_2004,Russia
2k1b_UK_wg_BID-G1241_JX227952_2004,United_Kingdom
2k1b_UKR_Core-NS2-NS3_720_X_2008,Ukraine
Rag_2k1b_AZ_CoreE1-NS5Bconcat_01AZ051_FJ435462-FJ435529_2000,Azerbaijan
Rag_2k1b_AZ_CoreE1-NS5Bconcat_01AZ082_FJ435480-FJ435544_2000,Azerbaijan
Rag_2k1b_AZ_CoreE1-NS5Bconcat_02AZ105_FJ435490-FJ435550_2001,Azerbaijan
Rag_2k1b_AZ_CoreE1-NS5Bconcat_02AZ114_FJ435497-FJ435556_2001,Azerbaijan
Rag_2k1b_AZ_CoreE1-NS5Bconcat_02AZ129_FJ435505-FJ435564_2001,Azerbaijan
Rag_2k1b_AZ_CoreE1-NS5Bconcat_02AZ139_FJ435514-FJ435572_2001,Azerbaijan
Rag_2k1b_CYPR-GEO_wg_CYHCV037_HQ537005_2005,Georgia
Rag_2k1b_CYPR-GEO_wg_CYHCV093_HQ537006_2007,Georgia
Rag_2k1b_FR-GEO_wg_M21_FJ821465_2007,Georgia
Rag_2k1b_IE-RU_CoreE1-NS5Bconcat_HC9A99966_AB327018-AB327058_2006,Russia
Rag_2k1b_NT-GEO_CoreE1-NS2-NS5Bconcat_P108_JF949904-JN006801-JF949898_2007,Georgia
Rag_2k1b_NT-GEO_CoreE1-NS2-NS5Bconcat_P135_JF949905-JN006802-JF949899_2005,Georgia
Rag_2k1b_NT-GEO_CoreE1-NS2-NS5Bconcat_P159_JF949906-JN006803-JF949900_2007,Georgia
Rag_2k1b_NT-GEO_CoreE1-NS2-NS5Bconcat_P179_JF949907-JN006804-JF949901_2007,Georgia
Rag_2k1b_NT-GEO_CoreE1-NS5Bconcat_P079_JF949903-JF949897_2006,Georgia
Rag_2k1b_NT-RUS_CoreE1-NS2-NS5Bconcat_P077_JF949908-JN006800-JF949902_2006,Russia
Rag_2k1b_RU_Core--NS3-NS5B_747_AY070214-AF388411_1999,Russia
Rag_2k1b_RU_Core--NS3-NS5B_796_AY070215-AF388412_1999,Russia
Rag_2k1b_RU_CoreE1-NS2-NS5Bconcat_KNG327_AB327012-AH014197-AY764176_2002,Russia
Rag_2k1b_RU_CoreE1-NS5Bconcat_ALT30_AB327015-AB327055_2000,Russia
Rag_2k1b_RU_CoreE1-NS5Bconcat_HIA1002_AB327011-DQ001221_2003,Russia
Rag_2k1b_RU_CoreE1-NS5Bconcat_KNG318_AB327010-AY764172_2002,Russia
Rag_2k1b_RU_CoreE1-NS5Bconcat_PSA108_AB327013-AB327053_2005,Russia
Rag_2k1b_RU_CoreE1-NS5Bconcat_PSA62_AB327014-AB327054_2005,Russia
Rag_2k1b_RU_wg_N687_AY587845_1999,Russia
Rag_2k1b_UZ_CoreE1-NS2-NS5Bconcat_UZIDU19_AB327122-AB327120_2006,Uzbekistan
Rag_2k1b_UZ_CoreE1-NS5Bconcat_AZ15_AB327016-AB327056_2003,Uzbekistan
Subject-008006-USA_wg_U213739_2012,USA
Subject-008018-SP_wg_R325372_2012,Spain
Subject-008019-NT_wg_R321142_2013,Netherlands
Subject-008020-NT_wg_R319963_2013,Netherlands
Subject-008022-BELG_wg_M023437_2014,Belgium
Subject-008023-BELG_wg_M291138_2014,Belgium